Prepared: 03-MAR-2026 13:50 GMT,,,,,,,,,
MSN,Noun,Bulk Issue,Process Name,Local Process Name,Dist %,Max On Hand,Shop Code,Org Symbol,
8040PHM00072250,"ADHESIVE, CYANOACRYLATE, CLEAR, MULTI-PURPOSE",N,Adhering/bonding/sealing - all usages,USE OF SEALANTS AND ADHESIVES,100,3,999B-Z61,72 ABW/CECOPM,
3439PHM00058602,"ELECTRODE, WELDING, CARBON STEEL, 5/32",N,"Welding, NOC",WELDING / SOLDERING / BRAZING,100,8,999B-Z61,72 ABW/CECOPM,
8030007535004,"SEALING COMPOUND, MRAP, GRAY, TY2, CL B-1/2",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,201A-Z02,566 AMXS,
8030010145869,"SEALANT, THIXOTROPIC, BLUE, THREADLOCKING",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,201A-Z02,566 AMXS,
8030011840330,"SEALING COMPOUND, GRAY, RUBBER SYNTHETIC, KIT",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,201A-Z02,566 AMXS,
8030012905137,"SEALING COMPOUND, SYNTHETIC RUBBER, GRAY, INTEGRAL FUEL TANK, KIT",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,201A-Z02,566 AMXS,
1234K_6810551J@T,ACID TEST KIT TA-1,N,"Administrative, NOC",GENERAL HOUSEKEEPING ACTIVITIES,100,125,999B-Z58,76 MXSS/MXDVA,
6810LAB551J(5D028)@T,VIRGINIA TKO REFRIGERATION OIL TEST KIT,N,"Administrative, NOC",GENERAL HOUSEKEEPING ACTIVITIES,100,125,999B-Z58,76 MXSS/MXDVA,
6810LAB551J(78462)@T,VIRGINIA TKO REFRIGERATION OIL TEST KIT,N,"Administrative, NOC",GENERAL HOUSEKEEPING ACTIVITIES,100,125,999B-Z58,76 MXSS/MXDVA,
6810LAC181G@T,NU-BRITE,N,"Administrative, NOC",GENERAL HOUSEKEEPING ACTIVITIES,100,125,999B-Z58,76 MXSS/MXDVA,
6830009359896,"MONOCHLORODIFLUOROMETHANE, TECHNICAL, LIQUEFIED GAS",N,"Administrative, NOC",GENERAL HOUSEKEEPING ACTIVITIES,100,125,999B-Z58,76 MXSS/MXDVA,
8010001605788,"THINNER, PAINT",N,"Coating/painting, multiple operations",PAINTING,100,125,999B-Z58,76 MXSS/MXDVA,
8030005468637,"SEALANT, CORROSION PREVENTIVE, AEROSOL",N,"Cleaning, other- multiple operations","Cleaning, other- multiple operations",100,125,416B-Z01,VQ-4,
8030014710603,"SEALING COMPOUND, SILICONE, GRAY, AIRCRAFT FIREWALL, KIT",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,201A-Z02,566 AMXS,
8030011840329,"SEALING COMPOUND, CORROSION INHIBITIVE, AIRCRAFT, GRAY, KIT",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,375A-Z01,546 PMXS,
8040001236954,"ADHESIVE, PLASTIC EPOXY, GRAY, STRUCTURAL APPLICATIONS, KIT",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,375A-Z01,546 PMXS,
8040001429193-1,"ADHESIVE, CYANOACRYLATE, TYPE 2 AND CLASS 2",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,375A-Z01,546 PMXS,
8040PHM00022665,"ADHESIVE, LATEX, WALL BASE",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,3,022A-Z6,MXSG,
8030013703048,"SEALANT, SYNTHETIC RUBBER, PREMIXED AND FROZEN",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,391A-Z03,564 AMXS/MXDPAA,
8040006644318,"ADHESIVE, POLYCHLORPRENE RUBBER, GENERAL PUPRPOSE",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,391A-Z03,564 AMXS/MXDPAA,
8040007386429,"ADHESIVE, PLASTIC EPOXY, GRAY, LIGHT, KIT",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,391A-Z03,564 AMXS/MXDPAA,
8040009023871,"ADHESIVE, SILICONE, RED, HIGH TEMPERATURE, KIT",N,Adhering/bonding/sealing - all usages,ADHESIVE/SEALANT,100,125,391A-Z03,564 AMXS/MXDPAA,
8030PHM00512110,CYCOM 919 PREPREG,N,Adhering/bonding/sealing - all usages,078E-Z02  ADHESIVE/SEALANT,100,125,078E-Z02,553 CMMXS,
9150PHM00361394,"160796 / 51007, LOCTITE LB 8008 C5-A KNOWN AS LOCTITE C5-A CO A/S 1LB EN, LUBRICANT",N,"Lubricating, multiple operations",LUBRICATION,100,30,999B-Z61,72 ABW/CECOPM,
8010PHM00353305,"DYKEM CROSS CHECK, COLOR A498M YELLOW",N,Adhering/bonding/sealing - all usages,411A-Z01 ADHESIVE/SEALANTS,100,9,411A-Z01,550 CMMXS,
9150PHM00361394,"160796 / 51007, LOCTITE LB 8008 C5-A KNOWN AS LOCTITE C5-A CO A/S 1LB EN, LUBRICANT",N,Adhering/bonding/sealing - all usages,USE OF SEALANTS AND ADHESIVES,100,36,999B-Z37,72 ABW/CECOUF,
9150002234129,"LUBRICANT, OIL, INSTRUMENT",N,"Lubricating, multiple operations",LUBRICANTS,100,125,391A-Z03,564 AMXS/MXDPAA,
9150002500926,"PETROLATUM, TECHNICAL",N,"Lubricating, multiple operations",LUBRICANTS,100,125,391A-Z03,564 AMXS/MXDPAA,
9150005421430,"LUBRICANT, OIL, GENERAL PURPOSE",N,"Lubricating, multiple operations",LUBRICANTS,100,125,391A-Z03,564 AMXS/MXDPAA,
9150005437220,"LUBRICANT OIL, MOLYBDENUM DISULFIDE",N,"Lubricating, multiple operations",LUBRICANTS,100,125,391A-Z03,564 AMXS/MXDPAA,
9150006815999,"LUBRICATING OIL, AIRCRAFT TURBINE ENGINE, SYNTHETIC",N,"Lubricating, multiple operations",LUBRICANTS,100,125,391A-Z03,564 AMXS/MXDPAA,
9150008237860,"LUBRICATING COMPOUND, DIMETHYLSIL, AEROSOL",N,"Lubricating, multiple operations",LUBRICANTS,100,125,391A-Z03,564 AMXS/MXDPAA,
9150008237908,"LUBRICANT, GREASE, EXTREME PRESSURE",N,"Lubricating, multiple operations",LUBRICANTS,100,125,391A-Z03,564 AMXS/MXDPAA,
9150009354017,"GREASE, AIRCRAFT & INSTRUMENT",N,"Lubricating, multiple operations",LUBRICANTS,100,125,391A-Z03,564 AMXS/MXDPAA,
